0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96
0005;1;;5B35768C00000210;00000000000000000011;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB34;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0DA;00000578;00000834;0000161C;0000161C;;;;;;;;;;;;;;;;;;;;;B76CE4C2D6ED74AB3031;
0005;1;;5B35768C00000213;00000000000000000012;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0001;5.0;1.0;77158D4A;;1.0;039F;D98716D8;2D78F8CE;73;E86D246E;E86D246E;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB35;;;;;;;;;;;;;;;;;;;;;;;;;;A41C3FC1ADC1A5273031;
0005;1;;5B35768C00000327;00000000000000000013;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB35;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0DB;000005DC;00000898;0000173E;0000173E;;;;;;;;;;;;;;;;;;;;;ABCAE83CEA08DE333031;
0005;1;;5B35768F00000122;00000000000000000014;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0003;1.0;1.0;77D315FC;;1.0;00BB;A74728BC;F6E4960E;73;82EE81E0;82EE81E0;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB36;;;;;;;;;;;;;;;;;;;;;;;;;;8D88F0F08673112E3031;
0005;1;;5B35768F0000022B;00000000000000000015;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB36;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0DC;00000640;00000708;000016D0;000016D0;;;;;;;;;;;;;;;;;;;;;BD5C991AC3D6A8193031;
0009;1;;5B35769100000030;00000000000000000016;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;074e4f2052454144000000;074e4f2052454144000000;;00000000000001573B65;7.0;8F5CFD21AB5EBBEC30317B980B8E4073C5143031AC7E29E18D86127930310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0DD;00000708;0000076C;000016DA;000016DA;;;;;;;;;;;;;;;;;;;;;1CF1E17A6634F4DB3031;
0005;1;;5B35769400000009;00000000000000000017;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060000.0;01C9;0004;9.0;1.0;52180335;;1.0;0C8B;CAF2F9C2;2B685EDC;6F;0D367847;0D367847;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB37;;;;;;;;;;;;;;;;;;;;;;;;;;43A6D0DB674A0B8C3031;
0005;1;;5B357694000000A8;00000000000000000018;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB37;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0DE;00000708;00000708;000015C2;000015C2;;;;;;;;;;;;;;;;;;;;;A45799C26181DEC83031;
0005;1;;5B357694000002B8;00000000000000000019;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0004;9.0;1.0;569017D6;;1.0;0CA8;33CEE712;6B7EECBD;6F;E599F4D0;E599F4D0;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB38;;;;;;;;;;;;;;;;;;;;;;;;;;9B970A26330E31003031;
0005;1;;5B357694000003D5;0000000000000000001A;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB38;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0DF;00000578;00000834;0000169E;0000169E;;;;;;;;;;;;;;;;;;;;;572A79FCA11E68DF3031;
0009;1;;5B35769A00000260;0000000000000000001B;;724004;405;40502;;;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;0542575238310000000000;;00000000000001573B66;67.0;685C82A5B04DD6E43031CFA0C41FDC9557F43031CE3158076DAA004D30310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0E0;00000D48;00000A28;000052D0;000052D0;;;;;;;;;;;;;;;;;;;;;CC87D17B6676D7D43031;
0005;1;;5B35769D00000029;0000000000000000001C;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;165C3602;;1.0;0E2F;C8544F4C;6B4446D9;73;4C09F796;4C09F796;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB39;;;;;;;;;;;;;;;;;;;;;;;;;;9CE3900214C5E0D33031;
0005;1;;5B35769D000000D0;0000000000000000001D;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB39;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E1;00000708;00000708;00001752;00001752;;;;;;;;;;;;;;;;;;;;;535E5E80C638EE533031;
0005;1;;5B35769F0000004D;0000000000000000001E;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0001;5.0;1.0;77A60393;;1.0;00EB;E85205A7;44F60802;73;EF1324D1;EF1324D1;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3A;;;;;;;;;;;;;;;;;;;;;;;;;;03EB1E7E719B20D63031;
0005;1;;5B35769F00000120;0000000000000000001F;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3A;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E2;00000640;000007D0;000015A4;000015A4;;;;;;;;;;;;;;;;;;;;;63655819A63BBA7B3031;
0005;1;;5B35769F000000C6;00000000000000000020;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;146D8A94;;1.0;0DE7;EDB76FEE;846488B2;73;3CBFA23D;3CBFA23D;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3B;;;;;;;;;;;;;;;;;;;;;;;;;;16390FB53492BD273031;
0005;1;;5B35769F0000018C;00000000000000000021;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3B;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E3;000005DC;000006A4;000015EA;000015EA;;;;;;;;;;;;;;;;;;;;;7DC9602990DF01143031;
0009;1;;5B3576A000000210;00000000000000000022;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;42;;00000000000001573B67;7.0;EC308EA765CA4F4130310464D61D301D7CFF30312D644A34579828A230310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0E4;00000640;00000708;00001586;00001586;;;;;;;;;;;;;;;;;;;;;D643EC39045A47C43031;
0005;1;;5B3576A1000000F3;00000000000000000023;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0001;5.0;1.0;77A5B5F4;;1.0;0037;5359CE9D;A91DF32F;73;E60F0489;E60F0489;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3C;;;;;;;;;;;;;;;;;;;;;;;;;;37BAEDC722AB7E5D3031;
0005;1;;5B3576A1000002B1;00000000000000000024;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3C;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E5;00000514;000007D0;000011BC;000011BC;;;;;;;;;;;;;;;;;;;;;2EC073E2506920763031;
0005;1;;5B3576A6000000D8;00000000000000000025;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060000.0;01C9;0004;9.0;1.0;53CC22C2;;1.0;06B3;7F5897E1;7A926979;6F;0EC5EAF9;0EC5EAF9;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3D;;;;;;;;;;;;;;;;;;;;;;;;;;2DA9BF56FB813BAC3031;
0005;1;;5B3576A6000001CE;00000000000000000026;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3D;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E6;00000708;00000834;000016D0;000016D0;;;;;;;;;;;;;;;;;;;;;76D349BA8828A7EC3031;
0009;1;;5B3576AC000000C4;00000000000000000027;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;43;;00000000000001573B68;7.0;C9700B692A8FFDA93031BE14790FBD1D9C153031EB056772DFD1CB9D30310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0E7;00000578;00000834;00001612;00001612;;;;;;;;;;;;;;;;;;;;;82A068F21283C3263031;
0005;1;;5B3576AC00000031;00000000000000000028;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060000.0;01C9;0002;5.0;1.0;64500274;;1.0;0D07;50AA8637;4006A90B;73;B7455E4D;B7455E4D;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3E;;;;;;;;;;;;;;;;;;;;;;;;;;0126257EF4175D863031;
0005;1;;5B3576AC00000156;00000000000000000029;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3E;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E8;00000578;00000640;0000175C;0000175C;;;;;;;;;;;;;;;;;;;;;575CD21BF1031DF13031;
0005;1;;5B3576AD000000A0;0000000000000000002A;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;730200030300.0;01C9;0001;1.0;1.0;13435462;;1.0;0BB1;89BBEA7E;BC20F20C;73;34A846BF;34A846BF;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3F;;;;;;;;;;;;;;;;;;;;;;;;;;5E7D95B2BB2089FF3031;
0005;1;;5B3576AD00000171;0000000000000000002B;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB3F;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0E9;000006A4;00000708;000015F4;000015F4;;;;;;;;;;;;;;;;;;;;;2EC6C060A14C76653031;
0005;5;;5B3576AE00000372;0000000000000000002C;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060801.0;01C9;0004;9.0;1.0;53B013CF;;1.0;07B3;4A80485E;B8138D8E;6F;94AB44CA;94AB44CA;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB40;;;;;;;;;;;;;;;;;;;;;;;;;;516A407ACD68BD2C3031;
000D;5;;5B3576AF000000F9;0000000000000000002D;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB40;1.0;;;;;;;;;44;44;;00000000000001573B69;27.0;3928DE3623F0663030319EC88BC7145CF27E30312000AEDF0DC1D3EC30310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0EA;000006A4;000007D0;0000169E;0000169E;;;;;;;;;;;;;;;;;;;;;BDB94539C3C88CD93031;
0009;1;;5B3576B000000211;0000000000000000002E;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;074e4f2052454144000000;074e4f2052454144000000;;00000000000001573B6A;67.0;6D24D972E280A62D30310056FBC65BD5A7053031588A77F88E79D54A30310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0EB;00000640;0000076C;000015B8;000015B8;;;;;;;;;;;;;;;;;;;;;A4B8136039522E6C3031;
0005;5;;5B3576B30000014C;0000000000000000002F;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060800.0;01C9;0004;9.0;1.0;53C821BE;;1.0;0E66;8D2AC7DE;0B7D832E;6F;108CD202;108CD202;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB41;;;;;;;;;;;;;;;;;;;;;;;;;;01D97F143AC85C7E3031;
